method,level,variant,cluster_size,log10_cluster_size
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,594.0,2.7737864449811935
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,448.0,2.651278013998144
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,7.0,0.8450980400142568
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,139.0,2.143014800254095
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,710.0,2.8512583487190755
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,424.0,2.6273658565927325
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,650.0,2.8129133566428557
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,215.0,2.3324384599156054
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1038.0,3.016197353512439
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,1219.0,3.0860037056183818
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,331.0,2.519827993775719
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,263.0,2.419955748489758
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,158.0,2.1986570869544226
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,686.0,2.8363241157067516
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,306.0,2.48572142648158
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,537.0,2.7299742856995555
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,191.0,2.2810333672477277
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,371.0,2.569373909615046
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,353.0,2.5477747053878224
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,448.0,2.651278013998144
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,603.0,2.780317312140151
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,62.0,1.792391689498254
kmeans_umap_baseline,fine,kmeans_umap_baseline_fine,854.0,2.931457870689005
